epoch,loss,mse,mae
0,0.19752416014671326,0.19752416014671326,0.3974419832229614
1,0.08647200465202332,0.08647200465202332,0.23351606726646423
2,0.027437858283519745,0.027437858283519745,0.11404087394475937
3,0.019299620762467384,0.019299620762467384,0.07744911313056946
4,0.013052443042397499,0.013052443042397499,0.06045239791274071
5,0.006028451956808567,0.006028451956808567,0.04167336970567703
6,0.00333864102140069,0.00333864102140069,0.03453701362013817
7,0.0024640781339257956,0.0024640781339257956,0.02846544235944748
8,0.006272589787840843,0.006272589787840843,0.03494571894407272
9,0.0021098055876791477,0.0021098055876791477,0.025387004017829895
10,0.0015069185756146908,0.0015069185756146908,0.021765531972050667
11,0.002262664260342717,0.002262664260342717,0.022428356111049652
12,0.0010817329166457057,0.0010817329166457057,0.018034540116786957
13,0.0009507880313321948,0.0009507880313321948,0.017210248857736588
14,0.0008047639857977629,0.0008047639857977629,0.016421739012002945
15,0.0006733734626322985,0.0006733734626322985,0.015116298571228981
16,0.0006111367256380618,0.0006111367256380618,0.014463884755969048
17,0.0006243174429982901,0.0006243174429982901,0.014628106728196144
18,0.0005772412405349314,0.0005772412405349314,0.013746908865869045
19,0.0005199158913455904,0.0005199158913455904,0.013348979875445366
20,0.0004477649927139282,0.0004477649927139282,0.012572113424539566
21,0.00048154083197005093,0.00048154083197005093,0.012447054497897625
22,0.0004352762480266392,0.0004352762480266392,0.012388164177536964
23,0.0003716026258189231,0.0003716026258189231,0.011212790384888649
24,0.00047683867160230875,0.00047683867160230875,0.012267526239156723
25,0.00036303422530181706,0.00036303422530181706,0.011117566376924515
26,0.0003724785929080099,0.0003724785929080099,0.011166495271027088
27,0.0003617456532083452,0.0003617456532083452,0.010986486449837685
28,0.0003309844178147614,0.0003309844178147614,0.010346046648919582
29,0.0003291244793217629,0.0003291244793217629,0.01054720301181078
30,0.0003216821642126888,0.0003216821642126888,0.010113555006682873
31,0.0002801958180498332,0.0002801958180498332,0.009781328029930592
32,0.00032232399098575115,0.00032232399098575115,0.009764638729393482
33,0.00031370524084195495,0.00031370524084195495,0.010091682896018028
34,0.0002766236721072346,0.0002766236721072346,0.009558855555951595
35,0.00027119662263430655,0.00027119662263430655,0.009461544454097748
36,0.0002530731726437807,0.0002530731726437807,0.009159131906926632
37,0.00026291259564459324,0.00026291259564459324,0.00904417410492897
38,0.0002571158402133733,0.0002571158402133733,0.009051338769495487
39,0.0002441356482449919,0.0002441356482449919,0.008859963156282902
40,0.00023186787439044565,0.00023186787439044565,0.008731602691113949
41,0.00022883329074829817,0.00022883329074829817,0.008527925238013268
42,0.00021811069746036083,0.00021811069746036083,0.008478563278913498
43,0.00020571501227095723,0.00020571501227095723,0.008267461322247982
44,0.00021695320901926607,0.00021695320901926607,0.00821858923882246
45,0.0002070056216325611,0.0002070056216325611,0.008176534436643124
46,0.0001936313637997955,0.0001936313637997955,0.008062467910349369
47,0.0002032111951848492,0.0002032111951848492,0.007930343970656395
48,0.00019820781017187983,0.00019820781017187983,0.007725460454821587
49,0.00018667001859284937,0.00018667001859284937,0.007784503512084484
50,0.0001812769623938948,0.0001812769623938948,0.007768938317894936
51,0.00017962879792321473,0.00017962879792321473,0.007529719267040491
52,0.00016890054394025356,0.00016890054394025356,0.007201603148132563
53,0.00017795080202631652,0.00017795080202631652,0.007562709040939808
54,0.00016139919171109796,0.00016139919171109796,0.00733668077737093
55,0.00017929915338754654,0.00017929915338754654,0.007381249684840441
56,0.00016347673954442143,0.00016347673954442143,0.00719816517084837
57,0.0001573610643390566,0.0001573610643390566,0.007043404504656792
58,0.000148715334944427,0.000148715334944427,0.007044102996587753
59,0.00016467184468638152,0.00016467184468638152,0.007048368453979492
60,0.00015019580314401537,0.00015019580314401537,0.006934645120054483
61,0.00014632711827289313,0.00014632711827289313,0.006758942734450102
62,0.00014739049947820604,0.00014739049947820604,0.006913408171385527
63,0.0001451171119697392,0.0001451171119697392,0.006771369371563196
64,0.00013906264211982489,0.00013906264211982489,0.006555776111781597
65,0.00014152753283269703,0.00014152753283269703,0.006704771891236305
66,0.00013623989070765674,0.00013623989070765674,0.0066046942956745625
67,0.00013049297558609396,0.00013049297558609396,0.006496193818747997
68,0.00013130348816048354,0.00013130348816048354,0.006417566444724798
69,0.00013157272769603878,0.00013157272769603878,0.006435549817979336
70,0.00012751168105751276,0.00012751168105751276,0.00625111348927021
71,0.00012349300959613174,0.00012349300959613174,0.006331693381071091
72,0.00012199657794553787,0.00012199657794553787,0.0062161944806575775
73,0.00011938088573515415,0.00011938088573515415,0.0061597335152328014
74,0.00012167209933977574,0.00012167209933977574,0.006089337635785341
75,0.0001173195632873103,0.0001173195632873103,0.006134232506155968
76,0.00011509707837831229,0.00011509707837831229,0.0060855913907289505
77,0.00011400550283724442,0.00011400550283724442,0.005923643708229065
78,0.00011443562107160687,0.00011443562107160687,0.006074519827961922
79,0.00011064952559536323,0.00011064952559536323,0.005844786297529936
80,0.00011122332944069058,0.00011122332944069058,0.005897260271012783
81,0.00010939710045931861,0.00010939710045931861,0.00582735612988472
82,0.00010560802911641076,0.00010560802911641076,0.0058248029090464115
83,0.00010718168778112158,0.00010718168778112158,0.005755177699029446
84,0.00010707512410590425,0.00010707512410590425,0.00569077767431736
